"Date","Price","Open","High","Low","Vol.","Change %"
"15-09-2025","1,395.20","1,393.10","1,409.00","1,392.20","1.25M","0.15%"
"12-09-2025","1,393.10","1,395.50","1,406.50","1,391.10","1.47M","0.00%"
"11-09-2025","1,393.10","1,404.90","1,423.10","1,388.00","4.04M","0.29%"
"10-09-2025","1,389.10","1,400.00","1,404.90","1,385.00","2.55M","0.59%"
"09-09-2025","1,380.90","1,354.70","1,385.00","1,348.30","3.52M","2.42%"
"08-09-2025","1,348.30","1,321.90","1,363.40","1,321.90","1.45M","2.00%"
"05-09-2025","1,321.80","1,330.00","1,335.70","1,312.80","1.14M","-0.48%"
"04-09-2025","1,328.20","1,338.00","1,348.00","1,326.00","1.35M","-0.32%"
"03-09-2025","1,332.40","1,338.00","1,344.80","1,327.60","1.77M","-0.28%"
"02-09-2025","1,336.20","1,340.90","1,348.80","1,328.20","1.50M","0.07%"
"01-09-2025","1,335.30","1,318.30","1,338.50","1,316.10","983.91K","1.71%"
"29-08-2025","1,312.80","1,318.00","1,322.90","1,303.00","1.59M","-0.20%"
"28-08-2025","1,315.40","1,316.90","1,338.80","1,311.20","1.79M","0.00%"
"26-08-2025","1,315.40","1,335.20","1,339.90","1,310.00","1.65M","-1.87%"
"25-08-2025","1,340.40","1,341.30","1,348.90","1,332.50","1.21M","-0.06%"
"22-08-2025","1,341.20","1,364.00","1,364.00","1,338.20","1.21M","-1.51%"
"21-08-2025","1,361.80","1,371.10","1,377.80","1,355.30","1.23M","-0.64%"
"20-08-2025","1,370.60","1,369.40","1,374.60","1,358.00","1.59M","0.09%"
"19-08-2025","1,369.40","1,332.00","1,371.70","1,325.00","3.15M","3.18%"
"18-08-2025","1,327.20","1,321.90","1,332.00","1,295.00","10.23M","2.07%"
"14-08-2025","1,300.30","1,324.80","1,329.00","1,290.50","2.30M","-1.46%"
"13-08-2025","1,319.60","1,335.20","1,339.30","1,316.60","1.21M","-0.82%"
"12-08-2025","1,330.50","1,342.00","1,349.60","1,328.20","1.26M","-0.66%"
"11-08-2025","1,339.40","1,325.00","1,348.30","1,313.70","2.05M","1.09%"
"08-08-2025","1,325.00","1,345.40","1,356.90","1,317.70","1.56M","-1.52%"
"07-08-2025","1,345.40","1,351.00","1,357.90","1,315.00","2.86M","-1.59%"
"06-08-2025","1,367.10","1,374.00","1,386.90","1,358.10","2.29M","0.66%"
"05-08-2025","1,358.10","1,392.00","1,394.20","1,346.00","3.00M","-2.22%"
"04-08-2025","1,388.90","1,349.80","1,397.00","1,345.20","1.37M","3.10%"
"01-08-2025","1,347.10","1,371.00","1,375.90","1,342.80","1.24M","-1.89%"
"31-07-2025","1,373.10","1,382.10","1,395.80","1,370.30","1.41M","-1.50%"
"30-07-2025","1,394.00","1,398.80","1,403.10","1,391.50","627.32K","-0.14%"
"29-07-2025","1,395.90","1,376.00","1,398.70","1,373.60","782.76K","1.45%"
"28-07-2025","1,376.00","1,396.30","1,404.10","1,373.50","790.02K","-1.45%"
"25-07-2025","1,396.30","1,411.70","1,416.70","1,390.00","744.41K","-1.08%"
"24-07-2025","1,411.60","1,423.20","1,426.00","1,405.00","598.01K","-0.65%"
"23-07-2025","1,420.80","1,430.00","1,438.50","1,419.00","740.82K","0.01%"
"22-07-2025","1,420.70","1,454.50","1,454.50","1,417.10","976.67K","-2.05%"
"21-07-2025","1,450.50","1,442.10","1,453.10","1,430.00","815.78K","0.51%"
"18-07-2025","1,443.10","1,452.40","1,456.50","1,429.10","1.15M","-0.65%"
"17-07-2025","1,452.50","1,455.00","1,464.00","1,448.90","1.17M","-0.29%"
"16-07-2025","1,456.70","1,447.50","1,474.00","1,442.90","2.49M","0.80%"
"15-07-2025","1,445.10","1,434.40","1,449.30","1,429.00","735.11K","0.84%"
